,gene,importance
13898,Slc13a5,8.01224267083256e-05
13270,Rrbp1,7.992282364197144e-05
5462,Fkbp11,7.95729719437553e-05
1789,Atf3,7.892793725885268e-05
10174,Myl6,7.890330437782133e-05
15837,Trps1,7.87057010378526e-05
10610,Nop10,7.828657525628444e-05
13644,Serf2,7.827327729852254e-05
9489,Mbnl2,7.804980873577065e-05
16347,Vim,7.793614481642295e-05
16324,Vcan,7.746479554581061e-05
4249,Dlx5,7.648687003695527e-05
8426,Irx5,7.644703598102606e-05
4475,Dut,7.581553019657864e-05
2932,Cdca8,7.540572047333332e-05
2883,Cd81,7.534247040834155e-05
11887,Ppic,7.440222768736442e-05
3757,Ctsw,7.40198685946634e-05
13597,Sema3b,7.390205489728524e-05
3552,Cox6b1,7.376753188086834e-05
12281,Ptp4a1,7.371715360565528e-05
9664,Mfap4,7.353103127302699e-05
3671,Csf1,7.321371788632086e-05
6856,Gm42418,7.298314769280012e-05
9546,Mdk,7.296040829539084e-05
2474,Cadps2,7.250288575928759e-05
13927,Slc20a2,7.229556866518884e-05
12767,Rer1,7.207680705249746e-05
9826,Mmp2,7.06457535677271e-05
13676,Serpinh1,7.051604455416807e-05
8480,Itm2b,7.042076175372902e-05
5602,Ftl1,7.020160591041409e-05
16062,Ubb,6.959806453898472e-05
3036,Cenpm,6.918613415511417e-05
13137,Rpl4,6.85345551784987e-05
14917,Tagln2,6.845341947714789e-05
968,Ackr3,6.833995393018098e-05
2189,Bgn,6.816748674500381e-05
3321,Clmp,6.813378826632539e-05
4222,Dkk3,6.745954842900771e-05
3547,Cox4i1,6.745727013266511e-05
7635,H2-D1,6.678774565239448e-05
7640,H2-K1,6.67481620278971e-05
4716,Eif5a,6.662783194610615e-05
9626,Metrnl,6.656520012658701e-05
12265,Ptgis,6.651355841530552e-05
3615,Creb3l1,6.637279356433793e-05
12727,Rcn3,6.634426285161584e-05
17286,mt-Cytb,6.622752457664041e-05
14361,Snx27,6.60543233672663e-05
3008,Cebpb,6.594568258142806e-05
10423,Nedd4,6.590738029167286e-05
7655,H2afv,6.553394745760639e-05
11293,Pdia3,6.527599978536181e-05
3342,Clu,6.47392408145457e-05
9054,Lmna,6.419852371149298e-05
16067,Ube2c,6.40405464526981e-05
15663,Tppp3,6.373883469281883e-05
15189,Thoc7,6.359022852348875e-05
9720,Mical3,6.339667268453146e-05
17290,mt-Nd4,6.284607332411242e-05
3964,Dapk2,6.280741914105236e-05
9050,Lmcd1,6.271991604407202e-05
11008,Pabpc1,6.258970593931637e-05
3119,Cfl1,6.258607901587568e-05
11051,Pam,6.231975585266337e-05
17283,mt-Co1,6.176743066027495e-05
15040,Tcf4,6.169606493030659e-05
11883,Ppfibp2,6.156338096076683e-05
8104,Htra1,6.147637388754663e-05
14328,Snrpd1,6.143230054208375e-05
11763,Podnl1,6.125505812230621e-05
8142,Id3,6.124537386670309e-05
9327,Magoh,6.09420672763013e-05
10958,Ost4,6.00287014610443e-05
13150,Rpl8,5.9870466866524614e-05
13184,Rps14,5.9564022573578404e-05
3460,Col4a2,5.938701055860249e-05
5796,Gdpd2,5.875636074608958e-05
2741,Ccdc80,5.844423085479267e-05
15541,Tmx4,5.830018052167081e-05
13217,Rps26,5.828896132975279e-05
13068,Rpl15,5.8022930357451575e-05
5269,Fap,5.78214858082969e-05
5817,Gfpt2,5.765955117166833e-05
15525,Tmpo,5.75613385337775e-05
3701,Csrp2,5.717580697844652e-05
10331,Ncl,5.7169983522070814e-05
8938,Ldha,5.713226692662716e-05
8084,Hspa8,5.708246890998738e-05
8497,Ivns1abp,5.6785280234794875e-05
17311,tomato,5.67062454006988e-05
16031,Tyms,5.66785080798034e-05
10586,Nnmt,5.638706379360868e-05
13235,Rps6,5.633938460766965e-05
1926,Auts2,5.609775998675058e-05
11071,Pappa,5.6022998371e-05
9821,Mmp14,5.5579963388734575e-05
13439,Satb2,5.545483112640039e-05
1453,Anxa2,5.5424511068301614e-05
12186,Psma7,5.5395282876527494e-05
16072,Ube2d3,5.524924142431225e-05
8106,Htra3,5.5169222383520215e-05
16543,Wisp1,5.507650184230907e-05
14240,Smim5,5.505604390765156e-05
8941,Ldlr,5.4890380803445015e-05
4037,Ddah2,5.485203882042334e-05
4429,Dstn,5.483451720002576e-05
17281,mt-Atp6,5.459700892306497e-05
3726,Ctgf,5.450764358470756e-05
9360,Manf,5.433721215267652e-05
10367,Ndufa13,5.429473798855801e-05
12272,Pth1r,5.425433230289555e-05
3633,Crispld2,5.417047804522623e-05
5295,Fbln5,5.401265917027172e-05
11089,Park7,5.394691373032079e-05
3383,Cnn2,5.384559633520106e-05
1008,Actg1,5.370072173924484e-05
15673,Tpt1,5.3530772245139625e-05
1243,Akap12,5.3395567836962326e-05
12754,Relb,5.3192864148547975e-05
9055,Lmnb1,5.230155954785335e-05
1383,Angptl4,5.2224796153938966e-05
15326,Tmem119,5.206274270599848e-05
5471,Fkbp7,5.1925398129786004e-05
14594,Ssb,5.175501707520756e-05
4787,Emp1,5.156996569795898e-05
13094,Rpl26,5.146244304567921e-05
13734,Sgca,5.103308578568943e-05
12146,Prrx1,5.0919182380524804e-05
3370,Cnbp,5.085063820510467e-05
8024,Hpgd,5.0579049830387725e-05
5424,Fgfr2,5.015204572913422e-05
2366,C1qbp,4.983514814741637e-05
2822,Cct2,4.980673665969551e-05
4220,Dkk1,4.9631543237144016e-05
9310,Maf,4.952776892541514e-05
12280,Ptov1,4.952246238872834e-05
9088,Lpar1,4.93285412026121e-05
15379,Tmem176a,4.9303299528569853e-05
2231,Bmp4,4.901883219418897e-05
7958,Hnrnpk,4.877613820252078e-05
8259,Il17b,4.86731657360639e-05
16333,Vdr,4.862813703922502e-05
17288,mt-Nd2,4.835310319685185e-05
4548,Ebf1,4.8107176718872776e-05
17194,Zim1,4.7979272607298276e-05
3465,Col5a1,4.795253242744925e-05
10054,Mt2,4.7947339582571996e-05
12810,Rgcc,4.7799579497443535e-05
14400,Sost,4.779533968010567e-05
11886,Ppib,4.774926924325923e-05
3735,Ctnnb1,4.7673056187476644e-05
13139,Rpl5,4.7670632762146976e-05
13567,Sec61b,4.763435035562787e-05
9794,Mlip,4.761000717754451e-05
7932,Hmgn1,4.718649525185884e-05
16066,Ube2b,4.676777933810505e-05
7709,Hbb-bs,4.6732046385977097e-05
965,Acin1,4.665872719831734e-05
16635,Ybx3,4.657973005318599e-05
13250,Rps9,4.656134212393756e-05
9661,Mfap2,4.651172169847469e-05
14288,Snf8,4.646144739289351e-05
8157,Ier5,4.643015378728581e-05
10389,Ndufb2,4.6427416654344166e-05
5222,Fam64a,4.626983821259368e-05
2789,Ccnd1,4.615603161505779e-05
2708,Ccdc34,4.6069763676998506e-05
15237,Timp3,4.593823755616236e-05
15584,Tnn,4.5913705807758436e-05
1295,Aldoa,4.585945254305093e-05
8085,Hspa9,4.5854281332473944e-05
2969,Cdk4,4.5799568528278945e-05
16093,Ube2s,4.569308705199947e-05
10728,Nsg1,4.540781166945352e-05
5421,Fgfr1,4.5391603166241636e-05
4961,Ets2,4.518886862427179e-05
2305,Bsg,4.506476145463192e-05
16580,Wwp2,4.493587144236137e-05
11388,Pfn1,4.4808588328490724e-05
13093,Rpl24,4.4649078397503996e-05
11288,Pdgfrb,4.431427283779933e-05
13185,Rps15,4.4299140940201476e-05
845,AY036118,4.424386261167308e-05
17284,mt-Co2,4.401926718472693e-05
8919,Lbp,4.3899772211618896e-05
16063,Ubc,4.382301767717983e-05
1698,Arpc1b,4.376833830125928e-05
13302,Rspo3,4.368330988669865e-05
15849,Tsc22d3,4.345913602893979e-05
15527,Tmsb10,4.3122906340331106e-05
13102,Rpl29,4.2904556142080794e-05
1060,Adamts2,4.287104578001422e-05
3250,Ckap2l,4.2857872540007016e-05
16666,Ywhae,4.2822816727997635e-05
11285,Pdgfc,4.2605049082424766e-05
3728,Cthrc1,4.2536303756254966e-05
10137,Mvk,4.236590009764795e-05
9911,Mpzl1,4.226420664412532e-05
1459,Anxa8,4.2196775706388304e-05
7321,Gnb1,4.21181444152798e-05
15284,Tma7,4.210150284937176e-05
8220,Igfbp6,4.1990090252953646e-05
9084,Loxl1,4.197586086817406e-05
8755,Klf4,4.1870318994668934e-05
2835,Cd164,4.16844874354922e-05
14572,Srpx2,4.1668548769744295e-05
16355,Vldlr,4.1636803736744584e-05
7663,H3f3b,4.144542158063162e-05
12035,Prim1,4.142265520436903e-05
10640,Npc2,4.1234337862762167e-05
1045,Adam33,4.119408584395816e-05
9814,Mme,4.1180856084167445e-05
15235,Timp1,4.0927063998247954e-05
11714,Plxna2,4.091316104099713e-05
3856,Cyr61,4.08934328444702e-05
7933,Hmgn2,4.064163587372414e-05
9904,Mpped2,4.0469343161863964e-05
13642,Serbp1,4.031179543496514e-05
5628,Fxyd1,4.025655047002057e-05
8538,Jun,4.016992458180027e-05
15655,Tpm1,3.992432031676994e-05
2846,Cd24a,3.96965616485503e-05
9976,Mrpl51,3.9561702507694625e-05
13103,Rpl3,3.9539822762291764e-05
2916,Cdc42ep3,3.9537000038551564e-05
16791,Zfand5,3.9514135460764684e-05
15605,Tob1,3.947446167988631e-05
1036,Adam12,3.8783720424027364e-05
13089,Rpl22l1,3.876202740522855e-05
13105,Rpl30,3.8579886304118325e-05
11289,Pdgfrl,3.857276419074599e-05
4555,Ebpl,3.842864779403403e-05
10695,Nrbp2,3.838237167970498e-05
2927,Cdca3,3.837358070156687e-05
8188,Ifrd1,3.82389371184721e-05
1449,Antxr1,3.804020444311203e-05
3018,Celf2,3.7989548996979155e-05
11301,Pdk4,3.7977414523330096e-05
10140,Mxd3,3.792723213003192e-05
13151,Rpl9,3.792421050768315e-05
8473,Itgb5,3.766611128487046e-05
13273,Rrm1,3.765758748406711e-05
2018,BC005537,3.7516366343879363e-05
2063,BC055402,3.7264568517720986e-05
11328,Pdzrn4,3.721821371513549e-05
12018,Prdx5,3.717019343539664e-05
12424,RP23-457J22.1,3.6924713128702006e-05
14588,Srsf7,3.681333822084893e-05
15847,Tsc22d1,3.6788141942661097e-05
13064,Rpl13a,3.674601201245415e-05
15143,Tg,3.67230053221241e-05
1850,Atp5d,3.6689025103649066e-05
13274,Rrm2,3.660785593453041e-05
10712,Nrp1,3.6568535294813466e-05
3459,Col4a1,3.64830677802825e-05
11063,Panx3,3.6419204848169675e-05
16014,Txn1,3.6410339677758704e-05
14555,Sri,3.6396894291999613e-05
9316,Mafk,3.632846163788486e-05
12015,Prdx2,3.63095013733101e-05
8638,Kctd12,3.620618177513065e-05
5284,Fat1,3.617505141562552e-05
8083,Hspa5,3.614083544430389e-05
13125,Rpl36a,3.608775726302871e-05
2415,C4b,3.60237952656065e-05
9467,Matn1,3.600541880123689e-05
7948,Hnrnpa2b1,3.5648746240164e-05
2887,Cd9,3.539614521517824e-05
15033,Tcf12,3.524228163370834e-05
16209,Uqcrh,3.5215292712702087e-05
9087,Loxl4,3.513200929158327e-05
13057,Rpl10a,3.509758960979927e-05
2899,Cdc20,3.502713616622612e-05
3274,Cldn10,3.4999003429837e-05
14135,Slc9a2,3.494501831688388e-05
1367,Anapc11,3.485126390136242e-05
1856,Atp5h,3.476263729456668e-05
2126,Bcar3,3.458010870466153e-05
16783,Zeb2,3.4575584262611416e-05
10655,Npnt,3.4430046655998916e-05
10797,Nudt4,3.440698528044092e-05
7822,Hint1,3.4223748371953445e-05
12828,Rgs3,3.415038622862071e-05
13215,Rps25,3.412535647203529e-05
13721,Sfrp4,3.412453315838224e-05
5858,Gja1,3.40880727453749e-05
10704,Nrgn,3.3957413691249585e-05
9867,Morf4l1,3.393638992996247e-05
9712,Mia,3.387603060963289e-05
7793,Hey2,3.385601511967316e-05
4473,Dusp8,3.383622774369517e-05
11423,Phb2,3.378140148070052e-05
8739,Kitl,3.373687958256167e-05
12126,Prr15,3.3697284639303656e-05
8009,Hoxd1,3.365763782373908e-05
13154,Rplp0,3.3603640091521606e-05
16562,Wnt7b,3.346210868077179e-05
11374,Pf4,3.339591333415597e-05
8286,Il34,3.3222447109712726e-05
2935,Cdh11,3.321381848018269e-05
13222,Rps27l,3.321214087559814e-05
14249,Smoc2,3.310470161889598e-05
2325,Btg2,3.306283487599805e-05
10908,Omd,3.3041313355844423e-05
9704,Mgll,3.284246148287871e-05
4637,Egfl6,3.282290502415777e-05
11046,Palld,3.279928865608053e-05
2705,Ccdc3,3.268803522759153e-05
7632,H1fx,3.2648962730654776e-05
918,Abi1,3.253424747526387e-05
4599,Eef1b2,3.2441119667120746e-05
13995,Slc29a1,3.2435144427898125e-05
12191,Psmb3,3.2315029886223865e-05
1852,Atp5f1,3.2286968596659695e-05
1400,Ankrd11,3.2197303112619426e-05
10370,Ndufa4,3.214777875410624e-05
13132,Rpl38,3.213852892000112e-05
13520,Sdc2,3.2115798245674726e-05
16798,Zfhx4,3.197825907062085e-05
13225,Rps29,3.196163785976569e-05
5208,Fam46a,3.193082384161638e-05
14678,Stc2,3.190092564937276e-05
3253,Ckb,3.180939696826481e-05
16156,Ugdh,3.175268334404108e-05
3516,Copz2,3.1731137204723364e-05
5718,Gap43,3.1678965945761126e-05
5042,Fabp3,3.159277548252326e-05
15175,Thbs1,3.1501689267452334e-05
2195,Bicc1,3.148803338863089e-05
13213,Rps24,3.141527778610762e-05
14414,Sox4,3.13863875669493e-05
8348,Insc,3.128789310708544e-05
10388,Ndufb11,3.1101434653131615e-05
9900,Mpp6,3.106057647871788e-05
10052,Msx2,3.0989371663192224e-05
13196,Rps18,3.098489748693471e-05
16733,Zc3h3,3.090935112913528e-05
2623,Cbx1,3.085865452664924e-05
15881,Tspan6,3.0828428065233844e-05
10889,Ogt,3.0818557350902933e-05
4405,Dpysl3,3.0776300822504105e-05
2227,Bmp1,3.071039141383241e-05
10053,Mt1,3.069817465414649e-05
8422,Irx1,3.059433888982393e-05
11686,Plod2,3.058329226512247e-05
12388,Qsox1,3.0564591948628163e-05
13219,Rps27,3.054201723650395e-05
14566,Srp9,3.050620539187332e-05
1451,Anxa1,3.0482707900233336e-05
9243,Luc7l2,3.045082270399524e-05
2984,Cdkn1a,3.0303078549314644e-05
3475,Col8a2,3.0272191032637294e-05
14203,Smc2,3.01841961775466e-05
17292,mt-Nd5,3.0079673975470158e-05
2173,Bend5,3.0000460753503656e-05
12510,Rabac1,2.997571269717336e-05
16004,Twist1,2.988998490617523e-05
8894,Laptm4a,2.9874863852179414e-05
6196,Gm13889,2.9854625663969065e-05
13367,S100a10,2.981209195934255e-05
887,Abcc9,2.9810944477980516e-05
9709,Mgst1,2.9801016268610802e-05
5514,Fndc1,2.961691012712999e-05
5529,Fos,2.9615125884178055e-05
10699,Nrep,2.961430709170019e-05
3299,Clec3b,2.9611457210782904e-05
11190,Pcdhga9,2.9583194300399342e-05
11693,Plpp3,2.9508158609416727e-05
2294,Brk1,2.9479263323459236e-05
13248,Rps7,2.9447665086389812e-05
5473,Fkbp9,2.9403515037575498e-05
5285,Fat3,2.9382188549327523e-05
11916,Ppp1ca,2.9374098021736158e-05
8511,Jam2,2.9340769063510907e-05
11322,Pdzd2,2.9337094524355273e-05
15675,Tpx2,2.9258072806160626e-05
14459,Spc24,2.9254962697078737e-05
8971,Lgals3,2.925104753587318e-05
4047,Ddit4l,2.9227771952036002e-05
4490,Dynlrb1,2.9202049957226198e-05
10307,Ncam1,2.917130907143329e-05
3148,Chd3,2.9169309310211926e-05
13547,Sec11a,2.9116759471834357e-05
15604,Tnxb,2.884478778454016e-05
8223,Ighm,2.8802179424682333e-05
5073,Fam111a,2.8787562503267812e-05
9957,Mrpl33,2.8717529720463525e-05
296,2700038G22Rik,2.8700847615293447e-05
5119,Fam162a,2.8698715874325095e-05
9488,Mbnl1,2.8593050977263594e-05
4289,Dnajb11,2.856397804394979e-05
1070,Adamtsl2,2.8477244462332642e-05
13473,Scd2,2.845219099762562e-05
13134,Rpl39,2.842226306388797e-05
7749,Hdlbp,2.8420742546314982e-05
3753,Ctsk,2.840580245635215e-05
3556,Cox7a2,2.834534460645324e-05
13121,Rpl36,2.8179007611763236e-05
1157,Aebp1,2.812722099832218e-05
15974,Tubb6,2.8031245377832968e-05
2486,Calm2,2.801623961920856e-05
4690,Eif3f,2.7970388538064286e-05
2967,Cdk2ap1,2.7931336364922248e-05
12269,Ptgs2,2.7921570744767334e-05
16057,Ubald2,2.7892173964730974e-05
13249,Rps8,2.7810694995034348e-05
9253,Ly6c1,2.7766941013402235e-05
8098,Hspg2,2.755256271154616e-05
3360,Cmtm3,2.7549306129444758e-05
1527,Apod,2.7325013124661436e-05
4686,Eif3b,2.7303709734269137e-05
14442,Spag9,2.7287293304351667e-05
11680,Plk2,2.7275905622917165e-05
9832,Mmp9,2.714841436167541e-05
8216,Igfbp2,2.711292626479156e-05
2866,Cd44,2.7011051069623447e-05
2910,Cdc42,2.6945482768817975e-05
2000,B4gat1,2.6915748963477733e-05
13706,Sf3a3,2.685723289893366e-05
10684,Nr4a1,2.6850685986191112e-05
4238,Dlk1,2.6803518072448457e-05
7768,Hells,2.6783964298665597e-05
1548,Aqp1,2.676337974048332e-05
9134,Lrp4,2.675695619728829e-05
14420,Sox9,2.6731223445500105e-05
15882,Tspan7,2.6700380907080713e-05
13143,Rpl7,2.6622832249773092e-05
9818,Mmp11,2.660679832988239e-05
15070,Tead2,2.6585788955924446e-05
14202,Smc1a,2.656537693157236e-05
1,0610007P14Rik,2.6536692256116205e-05
10451,Neo1,2.649411184423997e-05
1373,Anapc5,2.618828053601153e-05
13522,Sdc4,2.618137178603396e-05
10450,Nenf,2.613763270500691e-05
7950,Hnrnpab,2.607879119466268e-05
13182,Rps13,2.6042589874890987e-05
12181,Psma2,2.601972479886497e-05
16871,Zfp292,2.600462592646731e-05
3168,Chka,2.597977198692758e-05
1380,Angpt4,2.5939558026915732e-05
17040,Zfp706,2.5903149296798837e-05
16632,Ybx1,2.5849361846070518e-05
9448,Marcksl1,2.5837406416141928e-05
10540,Nisch,2.583451285632571e-05
13106,Rpl31,2.5719490442181962e-05
8071,Hsp90aa1,2.5655514951393597e-05
5395,Fermt2,2.5650288772629368e-05
10151,Myc,2.5579567532755756e-05
1848,Atp5b,2.5566333837889657e-05
7838,Hist1h2ab,2.5558140563347557e-05
5629,Fxyd2,2.5543351224125246e-05
12311,Ptprd,2.546503789647555e-05
10062,Mtch1,2.5462310127826944e-05
11340,Peg3,2.5441816057735996e-05
1788,Atf2,2.543596907875308e-05
8809,Kmt2e,2.5430851469259865e-05
3339,Clta,2.5379489949521237e-05
13171,Rps10,2.536942077106749e-05
6667,Gm26924,2.5364196298689102e-05
830,AU021092,2.5343051274817123e-05
14611,Ssr4,2.5336495065300894e-05
14054,Slc38a2,2.530414966524327e-05
8718,Kif2c,2.525527075480555e-05
4563,Echs1,2.5211844940515815e-05
1457,Anxa6,2.5174001633230233e-05
4701,Eif4a2,2.5141884552628984e-05
