"","x"
"318","Cfb"
"319","Cfh"
"320","Cgnl1"
"321","Cgref1"
"322","Ch25h"
"323","Chad"
"324","Chadl"
"325","Chchd10"
"326","Chd7"
"327","Chil1"
"328","Chka"
"329","Chl1"
"330","Chn1"
"331","Chodl"
"332","Chrdl1"
"333","Chst1"
"334","Chst11"
"335","Chst2"
"336","Cilp"
"337","Cilp2"
"338","Cited1"
"339","Cited2"
"340","Ckap2"
"341","Ckap2l"
"342","Ckb"
"343","Cks2"
"344","Cldn1"
"345","Cldn10"
"346","Cldn11"
"347","Cldn5"
"348","Clec11a"
"349","Clec14a"
"350","Clec2d"
"351","Clec3b"
"352","Clspn"
"353","Clu"
"354","Cmtm3"
"355","Cmtm5"
"356","Cmtm8"
"357","Cnn1"
"358","Cnn2"
"359","Cnnm1"
"360","Cnrip1"
"361","Cntfr"
"362","Cntn1"
"363","Cntnap2"
"364","Cobl"
"365","Coch"
"366","Col10a1"
"367","Col11a1"
"368","Col11a2"
"369","Col12a1"
"370","Col13a1"
"371","Col14a1"
"372","Col15a1"
"373","Col16a1"
"374","Col18a1"
"375","Col1a1"
"376","Col22a1"
"377","Col23a1"
"378","Col24a1"
"379","Col25a1"
"380","Col26a1"
"381","Col27a1"
"382","Col2a1"
"383","Col3a1"
"384","Col4a1"
"385","Col4a2"
"386","Col5a1"
"387","Col5a2"
"388","Col5a3"
"389","Col6a3"
"390","Col6a5"
"391","Col6a6"
"392","Col8a1"
"393","Col8a2"
"394","Col9a1"
"395","Col9a2"
"396","Col9a3"
"397","Colec11"
"398","Colgalt2"
"399","Comp"
"400","Coro1a"
"401","Cotl1"
"402","Cox4i2"
"403","Cox6b2"
"404","Cp"
"405","Cpe"
"406","Cped1"
"407","Cpm"
"408","Cpne8"
"409","Cpq"
"410","Cpxm1"
"411","Cpxm2"
"412","Cpz"
"413","Crabp1"
"414","Crabp2"
"415","Creb3l1"
"416","Creb3l3"
"417","Creb5"
"418","Crim1"
"419","Crip1"
"420","Crip2"
"421","Crispld1"
"422","Crispld2"
"423","Crlf1"
"424","Cryab"
"425","Crym"
"426","Csf1"
"427","Csgalnact1"
"428","Csmd1"
"429","Cspg4"
"430","Csrnp1"
"431","Csrp1"
"432","Csrp2"
"433","Cst6"
"434","Ctgf"
"435","Cthrc1"
"436","Ctla2a"
"437","Ctsc"
"438","Ctsh"
"439","Ctsk"
"440","Ctsw"
"441","Cttnbp2"
"442","Cx3cl1"
"443","Cx3cr1"
"444","Cxadr"
"445","Cxcl1"
"446","Cxcl10"
"447","Cxcl12"
"448","Cxcl13"
"449","Cxcl14"
"450","Cxcl16"
"451","Cxcl2"
"452","Cxcl5"
"453","Cxcl9"
"454","Cybb"
"455","Cyfip2"
"456","Cygb"
"457","Cyp1b1"
"458","Cyp26a1"
"459","Cyp26b1"
"460","Cyp51"
"461","Cyr61"
"462","Cys1"
"463","Cystm1"
"464","Cytl1"
"465","Daam2"
"466","Dab2"
"467","Dact1"
"468","Dapk1"
"469","Dapk2"
"470","Dapl1"
"471","Dbp"
"472","Dclk1"
"473","Dcn"
"474","Dcx"
"475","Ddah1"
"476","Ddah2"
"477","Ddit3"
"478","Ddit4"
"479","Ddit4l"
"480","Ddx3y"
"481","Dennd5b"
"482","Depdc1a"
"483","Deptor"
"484","Des"
"485","Dhfr"
"486","Dhrs3"
"487","Dhx58os"
"488","Dio2"
"489","Dio3"
"490","Dkk1"
"491","Dkk2"
"492","Dkk3"
"493","Dlg5"
"494","Dlgap1"
"495","Dlgap5"
"496","Dlk1"
"497","Dlx3"
"498","Dlx5"
"499","Dlx6"
"500","Dmd"
"501","Dmkn"
"502","Dmp1"
"503","Dnajb1"
"504","Dnajb4"
"505","Dnajb9"
"506","Dnm3"
"507","Dnm3os"
"508","Dock10"
