"","x"
"1375","Pdpn"
"1376","Pdzd2"
"1377","Pdzrn4"
"1378","Peak1"
"1379","Pear1"
"1380","Pecam1"
"1381","Peg10"
"1382","Peg3"
"1383","Peli1"
"1384","Penk"
"1385","Per3"
"1386","Perp"
"1387","Pf4"
"1388","Pgam2"
"1389","Pgf"
"1390","Pglyrp1"
"1391","Phactr1"
"1392","Phactr2"
"1393","Phex"
"1394","Phf11d"
"1395","Phgdh"
"1396","Phip"
"1397","Phkg1"
"1398","Phlda1"
"1399","Phlda2"
"1400","Phlda3"
"1401","Phldb2"
"1402","Pi15"
"1403","Pi16"
"1404","Pid1"
"1405","Piezo2"
"1406","Pik3ip1"
"1407","Pik3r1"
"1408","Pim1"
"1409","Pim3"
"1410","Pitpnc1"
"1411","Pitx1"
"1412","Pitx2"
"1413","Pkdcc"
"1414","Pla1a"
"1415","Pla2g16"
"1416","Pla2g5"
"1417","Plac8"
"1418","Plagl1"
"1419","Plat"
"1420","Plaur"
"1421","Plcb1"
"1422","Plce1"
"1423","Plekhg2"
"1424","Plekhh2"
"1425","Plin2"
"1426","Plk1"
"1427","Plk2"
"1428","Plod2"
"1429","Plpp1"
"1430","Plpp3"
"1431","Plppr3"
"1432","Plscr1"
"1433","Plscr2"
"1434","Pltp"
"1435","Plvap"
"1436","Plxdc2"
"1437","Plxna2"
"1438","Plxnd1"
"1439","Pmaip1"
"1440","Pmp22"
"1441","Podn"
"1442","Podnl1"
"1443","Postn"
"1444","Pou2f2"
"1445","Pou3f1"
"1446","Pou3f3"
"1447","Ppa1"
"1448","Pparg"
"1449","Ppbp"
"1450","Ppfibp2"
"1451","Ppm1n"
"1452","Ppp1r14a"
"1453","Ppp1r15a"
"1454","Ppp1r1b"
"1455","Ppp1r3c"
"1456","Ppp2r2b"
"1457","Prc1"
"1458","Prcp"
"1459","Prdm11"
"1460","Prdm16"
"1461","Prelp"
"1462","Prg4"
"1463","Prkab2"
"1464","Prkcd"
"1465","Prkg2"
"1466","Prlr"
"1467","Prnp"
"1468","Procr"
"1469","Prr15"
"1470","Prr16"
"1471","Prrx1"
"1472","Prrx2"
"1473","Prss12"
"1474","Prss23"
"1475","Prss35"
"1476","Prss50"
"1477","Psd4"
"1478","Psmb8"
"1479","Psmb9"
"1480","Psrc1"
"1481","Ptch1"
"1482","Ptchd1"
"1483","Ptchd4"
"1484","Ptcra"
"1485","Ptger3"
"1486","Ptger4"
"1487","Ptges"
"1488","Ptgfr"
"1489","Ptgis"
"1490","Ptgs2"
"1491","Pth1r"
"1492","Pthlh"
"1493","Ptn"
"1494","Ptp4a3"
"1495","Ptpn18"
"1496","Ptprd"
"1497","Ptpre"
"1498","Ptprs"
"1499","Ptprz1"
"1500","Ptx3"
"1501","Ptx4"
"1502","Pxdc1"
"1503","Pxdn"
"1504","Pycard"
"1505","Pygl"
"1506","Qpct"
"1507","R3hdml"
"1508","RP23-457J22.1"
"1509","Rab20"
"1510","Rab27b"
"1511","Rab3il1"
"1512","Rac2"
"1513","Racgap1"
"1514","Rad51ap1"
"1515","Rad51ap2"
"1516","Rai14"
"1517","Ralgps2"
"1518","Ramp1"
"1519","Ramp2"
"1520","Ramp3"
"1521","Rap2b"
"1522","Rapgef3"
"1523","Rapgef4"
"1524","Raph1"
"1525","Rarb"
"1526","Rarres2"
"1527","Rasa4"
"1528","Rasd1"
"1529","Rasgrp2"
"1530","Rasl11a"
"1531","Rasl11b"
"1532","Rassf2"
"1533","Rbms3"
"1534","Rbp1"
"1535","Rbp4"
"1536","Rbpms"
"1537","Rcan1"
"1538","Rdh10"
"1539","Rerg"
"1540","Retn"
"1541","Retnlg"
"1542","Rftn1"
"1543","Rgcc"
"1544","Rgs10"
"1545","Rgs16"
"1546","Rgs2"
"1547","Rgs3"
"1548","Rgs4"
"1549","Rgs5"
"1550","Rgs7bp"
"1551","Rhob"
"1552","Rhoj"
"1553","Ric1"
"1554","Rin2"
"1555","Rmnd1"
"1556","Rnase4"
"1557","Rnasel"
"1558","Rnd1"
"1559","Rnd3"
"1560","Rnf213"
"1561","Robo2"
"1562","Rom1"
"1563","Rora"
"1564","Rpgrip1"
"1565","Rprm"
"1566","Rrad"
"1567","Rrm1"
"1568","Rrm2"
"1569","Rsad2"
"1570","Rspo1"
"1571","Rspo2"
"1572","Rspo3"
"1573","Rtn1"
"1574","Rtp4"
"1575","Runx1"
"1576","Runx1t1"
"1577","Runx2"
"1578","Runx3"
"1579","S100a1"
"1580","S100a16"
"1581","S100a4"
"1582","S100a6"
"1583","S100a8"
"1584","S100a9"
"1585","S100b"
"1586","S1pr1"
"1587","S1pr3"
"1588","Saa1"
"1589","Saa3"
"1590","Sag"
"1591","Samd4"
"1592","Samd9l"
"1593","Samhd1"
"1594","Sat1"
"1595","Satb1"
"1596","Satb2"
"1597","Sbsn"
"1598","Sbspon"
"1599","Scara3"
"1600","Scara5"
"1601","Scd1"
"1602","Scd2"
"1603","Scg2"
"1604","Scg3"
"1605","Scin"
"1606","Scrg1"
"1607","Scube3"
"1608","Scx"
"1609","Sdc1"
"1610","Sdc3"
"1611","Sdc4"
"1612","Sdk2"
"1613","Sdpr"
"1614","Selenbp1"
"1615","Sema3a"
"1616","Sema3b"
"1617","Sema3c"
"1618","Sema3d"
"1619","Sema3e"
"1620","Sema5a"
"1621","Sema6a"
"1622","Sema6d"
"1623","Sema7a"
"1624","Sepp1"
"1625","Sept4"
"1626","Serinc5"
"1627","Serpina12"
"1628","Serpina1a"
"1629","Serpina1b"
"1630","Serpina1d"
"1631","Serpina3c"
"1632","Serpina3f"
"1633","Serpina3g"
"1634","Serpina3n"
"1635","Serpinb1a"
"1636","Serpine1"
"1637","Serpine2"
"1638","Serpinf1"
"1639","Serping1"
"1640","Sertad4"
"1641","Setbp1"
"1642","Sfn"
"1643","Sfrp1"
"1644","Sfrp2"
"1645","Sfrp4"
"1646","Sfrp5"
"1647","Sgk1"
"1648","Sgms2"
"1649","Sh3pxd2b"
"1650","Shisa2"
"1651","Shisa3"
"1652","Shisa4"
"1653","Shox2"
"1654","Shroom3"
"1655","Sik1"
"1656","Six1"
"1657","Six2"
"1658","Skil"
"1659","Slc12a2"
"1660","Slc13a5"
"1661","Slc16a2"
"1662","Slc16a3"
"1663","Slc16a9"
"1664","Slc1a3"
"1665","Slc1a5"
"1666","Slc20a1"
"1667","Slc20a2"
"1668","Slc24a5"
"1669","Slc26a2"
"1670","Slc26a7"
"1671","Slc2a1"
"1672","Slc2a3"
"1673","Slc36a2"
"1674","Slc38a1"
"1675","Slc38a11"
"1676","Slc38a6"
"1677","Slc39a1"
"1678","Slc40a1"
"1679","Slc4a1"
"1680","Slc5a3"
"1681","Slc6a6"
"1682","Slc7a11"
"1683","Slc8a3"
"1684","Slc9a3r1"
"1685","Slco1a4"
"1686","Slco2a1"
"1687","Slfn5"
"1688","Slfn8"
"1689","Slfn9"
"1690","Slit2"
"1691","Slit3"
"1692","Slitrk6"
"1693","Slpi"
"1694","Slurp1"
"1695","Smad6"
"1696","Smad7"
"1697","Smagp"
"1698","Smc2"
"1699","Smc4"
"1700","Smim1"
"1701","Smim3"
"1702","Smim5"
"1703","Smoc1"
"1704","Smoc2"
"1705","Smpd3"
"1706","Smpdl3a"
"1707","Snai1"
"1708","Snai2"
"1709","Snca"
"1710","Sncg"
"1711","Sned1"
"1712","Snhg11"
"1713","Sobp"
"1714","Socs1"
"1715","Socs2"
"1716","Socs3"
"1717","Sod3"
"1718","Sorbs2"
"1719","Sost"
"1720","Sostdc1"
"1721","Sowahc"
"1722","Sox11"
"1723","Sox4"
"1724","Sox5"
"1725","Sox6"
"1726","Sox8"
"1727","Sox9"
"1728","Sp100"
"1729","Sp7"
"1730","Spaca6"
"1731","Sparcl1"
"1732","Spc24"
"1733","Spc25"
"1734","Speg"
"1735","Sphk1"
"1736","Spint2"
"1737","Spns2"
"1738","Spock3"
"1739","Spon1"
"1740","Spon2"
"1741","Spp1"
"1742","Spry1"
"1743","Spry2"
"1744","Spry4"
"1745","Spsb1"
"1746","Sqle"
"1747","Srgn"
"1748","Srm"
"1749","Srpx2"
"1750","Srxn1"
"1751","Ssc5d"
"1752","Ssh2"
"1753","Sstr2"
"1754","St3gal6"
"1755","St5"
"1756","St8sia2"
"1757","Stat1"
"1758","Stat2"
"1759","Stat5a"
"1760","Stc1"
"1761","Stc2"
"1762","Steap3"
"1763","Steap4"
"1764","Stfa3"
"1765","Stk26"
"1766","Stmn1"
"1767","Stmn2"
"1768","Stmn4"
"1769","Stox2"
"1770","Stra6"
"1771","Stxbp6"
"1772","Sulf1"
"1773","Sulf2"
"1774","Sult1a1"
"1775","Sult5a1"
"1776","Susd2"
"1777","Susd5"
"1778","Svep1"
"1779","Svil"
"1780","Syne1"
"1781","Syne2"
"1782","Synm"
"1783","Synpo"
"1784","Syt6"
"1785","Syt8"
"1786","Tac1"
"1787","Tacc3"
"1788","Tagln"
"1789","Tagln2"
"1790","Tbx18"
"1791","Tbx2"
"1792","Tbx3os1"
"1793","Tbxa2r"
"1794","Tc2n"
"1795","Tcea3"
"1796","Tceal3"
"1797","Tcf15"
"1798","Tcf19"
"1799","Tcf7l2"
"1800","Tcn2"
"1801","Tcp11l2"
"1802","Tef"
"1803","Tek"
"1804","Tenm3"
"1805","Tenm4"
"1806","Tesc"
"1807","Tfap2b"
"1808","Tfpi"
"1809","Tfpi2"
"1810","Tfrc"
"1811","Tgfb1"
"1812","Tgfb1i1"
"1813","Tgfb2"
"1814","Tgfb3"
"1815","Tgfbi"
"1816","Tgfbr3"
"1817","Tgif1"
"1818","Tgm2"
"1819","Thbd"
"1820","Thbs1"
"1821","Thbs2"
"1822","Thbs3"
"1823","Thbs4"
"1824","Thsd4"
"1825","Thsd7a"
"1826","Thy1"
"1827","Tifa"
"1828","Timp1"
"1829","Timp3"
"1830","Timp4"
"1831","Tinagl1"
"1832","Tiparp"
"1833","Tk1"
"1834","Tle2"
"1835","Tln2"
"1836","Tm4sf1"
"1837","Tmeff2"
"1838","Tmem100"
"1839","Tmem119"
"1840","Tmem140"
"1841","Tmem158"
"1842","Tmem176a"
"1843","Tmem176b"
"1844","Tmem178"
"1845","Tmem2"
"1846","Tmem204"
"1847","Tmem213"
"1848","Tmem26"
"1849","Tmem37"
"1850","Tmem51"
"1851","Tmem86a"
"1852","Tmem97"
"1853","Tmod2"
"1854","Tmpo"
"1855","Tmtc2"
"1856","Tmx4"
"1857","Tnc"
"1858","Tnfaip2"
"1859","Tnfaip3"
"1860","Tnfaip6"
"1861","Tnfrsf11b"
"1862","Tnfrsf12a"
"1863","Tnfrsf19"
"1864","Tnfrsf21"
"1865","Tnfsf11"
"1866","Tnfsf9"
"1867","Tnmd"
"1868","Tnn"
"1869","Tnni1"
"1870","Tnni2"
"1871","Tnnt3"
"1872","Tns1"
"1873","Tns3"
"1874","Tnxb"
"1875","Tob1"
"1876","Tob2"
"1877","Top2a"
"1878","Tox"
"1879","Tpbg"
"1880","Tpd52l1"
"1881","Tpm2"
"1882","Tppp3"
"1883","Tpx2"
"1884","Trabd2b"
"1885","Trf"
"1886","Trib1"
"1887","Trib2"
"1888","Tril"
"1889","Trim12a"
"1890","Trim2"
"1891","Trim47"
"1892","Trp53i11"
"1893","Trp53inp1"
"1894","Trps1"
"1895","Trpv4"
"1896","Tsc22d3"
"1897","Tshz2"
"1898","Tslp"
"1899","Tspan11"
"1900","Tspan12"
"1901","Tspan13"
"1902","Tspan15"
"1903","Tspan18"
"1904","Tspan2"
"1905","Tspan4"
"1906","Tspan7"
"1907","Tspan8"
"1908","Tspo"
"1909","Ttc21a"
"1910","Ttyh2"
"1911","Ttyh3"
"1912","Tuba1c"
"1913","Tuba4a"
"1914","Tubb2a"
"1915","Tubb2b"
"1916","Tubb3"
"1917","Tubb4b"
"1918","Tubb6"
"1919","Tusc5"
"1920","Twist1"
"1921","Twist2"
"1922","Txnip"
"1923","Tyms"
"1924","Tyrobp"
"1925","Uba7"
"1926","Ube2c"
"1927","Ube2l6"
"1928","Uchl1"
"1929","Ucma"
"1930","Ucp2"
"1931","Ugdh"
"1932","Uhrf1"
"1933","Unc5b"
"1934","Unc5c"
"1935","Ung"
"1936","Upk1b"
"1937","Usp18"
"1938","Usp2"
"1939","Usp53"
"1940","Uvssa"
"1941","Vamp5"
"1942","Vcam1"
"1943","Vcan"
"1944","Vcl"
"1945","Vdr"
"1946","Vegfa"
"1947","Vegfc"
"1948","Vit"
"1949","Vldlr"
"1950","Vpreb3"
"1951","Vstm4"
"1952","Vtn"
"1953","Vwa1"
"1954","Wdr86"
"1955","Wfdc1"
"1956","Wfdc12"
"1957","Wfdc2"
"1958","Wfdc21"
"1959","Wfikkn2"
"1960","Wif1"
"1961","Wisp1"
"1962","Wisp2"
"1963","Wnk4"
"1964","Wnt11"
"1965","Wnt16"
"1966","Wnt2"
"1967","Wnt4"
"1968","Wnt5b"
"1969","Wnt9a"
"1970","Wwp2"
"1971","Xaf1"
"1972","Xdh"
"1973","Xist"
"1974","Xlr"
"1975","Xylt1"
"1976","Yod1"
"1977","Zbtb20"
"1978","Zc2hc1c"
"1979","Zc3h12a"
"1980","Zc3hav1"
"1981","Zcchc24"
"1982","Zcchc5"
"1983","Zdbf2"
"1984","Zeb2"
"1985","Zfhx3"
"1986","Zfhx4"
"1987","Zfp36"
"1988","Zfp36l1"
"1989","Zfp36l2"
"1990","Zfp503"
"1991","Zfp618"
"1992","Zfp703"
"1993","Zim1"
"1994","Zscan26"
