,0
399,Coro1a
400,Cotl1
401,Cox4i2
402,Cox6b2
403,Cp
404,Cpe
405,Cped1
406,Cpm
407,Cpne8
408,Cpq
409,Cpxm1
410,Cpxm2
411,Cpz
412,Crabp1
413,Crabp2
414,Creb3l1
415,Creb3l3
416,Creb5
417,Crim1
418,Crip1
419,Crip2
420,Crispld1
421,Crispld2
422,Crlf1
423,Cryab
424,Crym
425,Csf1
426,Csgalnact1
427,Csmd1
428,Cspg4
429,Csrnp1
430,Csrp1
431,Csrp2
432,Cst6
433,Ctgf
434,Cthrc1
435,Ctla2a
436,Ctsc
437,Ctsh
438,Ctsk
439,Ctsw
440,Cttnbp2
441,Cx3cl1
442,Cx3cr1
443,Cxadr
444,Cxcl1
445,Cxcl10
446,Cxcl12
447,Cxcl13
448,Cxcl14
449,Cxcl16
450,Cxcl2
451,Cxcl5
452,Cxcl9
453,Cybb
454,Cyfip2
455,Cygb
456,Cyp1b1
457,Cyp26a1
458,Cyp26b1
459,Cyp51
460,Cyr61
461,Cys1
462,Cystm1
463,Cytl1
464,Daam2
465,Dab2
466,Dact1
467,Dapk1
468,Dapk2
469,Dapl1
470,Dbp
471,Dclk1
472,Dcn
473,Dcx
474,Ddah1
475,Ddah2
476,Ddit3
477,Ddit4
478,Ddit4l
479,Ddx3y
480,Dennd5b
481,Depdc1a
482,Deptor
483,Des
484,Dhfr
485,Dhrs3
486,Dhx58os
487,Dio2
488,Dio3
489,Dkk1
490,Dkk2
491,Dkk3
492,Dlg5
493,Dlgap1
494,Dlgap5
495,Dlk1
496,Dlx3
497,Dlx5
498,Dlx6
499,Dmd
500,Dmkn
501,Dmp1
502,Dnajb1
503,Dnajb4
504,Dnajb9
505,Dnm3
506,Dnm3os
507,Dock10
508,Dpep1
509,Dpp4
510,Dpt
511,Dpysl3
512,Dqx1
513,Dtl
514,Dusp1
515,Dusp10
516,Dusp14
517,Dusp2
518,Dusp3
519,Dusp5
520,Dusp6
521,E130114P18Rik
522,E330013P04Rik
523,Ebf1
524,Ebf2
525,Ebf3
526,Ece1
527,Ecm1
528,Ecm2
529,Edar
530,Edil3
531,Edn1
532,Ednra
533,Eepd1
534,Efemp1
535,Efhd1
536,Efna5
537,Efnb2
538,Egfl6
539,Egfl7
540,Egfr
541,Egr1
542,Egr2
543,Egr4
544,Ehd3
545,Eif2s3y
546,Ell2
547,Elmo1
548,Eln
549,Elovl4
550,Emb
551,Emcn
552,Emilin2
553,Emp1
554,Emx2
555,En1
556,Enc1
557,Eng
558,Enho
559,Eno3
560,Enpep
561,Enpp1
562,Enpp2
563,Enpp5
564,Enpp6
565,Entpd2
566,Entpd3
567,Epas1
568,Epb41l4b
569,Epcam
570,Epdr1
571,Epha3
572,Epha4
573,Epha5
574,Epha7
575,Eps8l2
576,Epyc
577,Erg
578,Errfi1
579,Esam
580,Esco2
581,Esm1
582,Esr1
583,Ets1
584,Ets2
585,Etv1
586,Etv5
587,Eva1a
588,Eva1c
589,Eya1
590,Eya2
591,Ezr
592,F13a1
593,F2r
594,F3
595,F5
596,F830016B08Rik
597,Fabp3
598,Fabp4
599,Fabp5
600,Fabp7
601,Fam101a
602,Fam102b
603,Fam107b
604,Fam111a
605,Fam129a
606,Fam13a
607,Fam174b
608,Fam180a
609,Fam181b
610,Fam198b
611,Fam19a5
612,Fam20a
613,Fam20c
614,Fam212a
615,Fam213a
616,Fam43a
617,Fam46a
618,Fam64a
619,Fam69a
620,Fam71a
621,Fam78b
622,Fam89a
623,Fap
624,Fat3
625,Fat4
626,Fblim1
627,Fbln1
628,Fbln2
629,Fbln5
630,Fbln7
631,Fbn1
632,Fbn2
633,Fbxo32
634,Fbxo5
635,Fcer1g
636,Fdft1
637,Fdps
638,Fez1
639,Ffar4
640,Fgd4
641,Fgd6
642,Fgf18
643,Fgf7
644,Fgf9
645,Fgfr2
646,Fgfr3
647,Fgfrl1
648,Fgl2
649,Fhl1
650,Fhl2
651,Fibin
652,Fign
653,Filip1l
654,Fjx1
655,Fkbp11
656,Flnc
657,Flrt2
658,Flrt3
659,Flt1
660,Fmo1
661,Fmo2
662,Fmod
663,Fn1
664,Fndc1
665,Folr2
666,Fos
667,Fosb
668,Fosl1
669,Fosl2
670,Foxa3
671,Foxc1
672,Foxc2
673,Foxd1
674,Foxo3
675,Foxp1
676,Foxp2
677,Foxq1
678,Foxs1
679,Frmd4a
680,Frmd4b
681,Frmd6
682,Fry
683,Frzb
684,Fst
685,Fstl1
